"","UTC_START_TIME","LOCATIONID","USAGE"
"288","2016-01-13 05:00:00.0","18594",8.765
"289","2016-01-14 05:00:00.0","18594",10.209
"290","2016-01-15 05:00:00.0","18594",27.257
"291","2016-01-16 05:00:00.0","18594",15.67
"292","2016-01-17 05:00:00.0","18594",14.127
"293","2016-01-18 05:00:00.0","18594",9.186
"294","2016-01-19 05:00:00.0","18594",10.964
"295","2016-01-20 05:00:00.0","18594",9.334
"296","2016-01-21 05:00:00.0","18594",10.068
"297","2016-01-22 05:00:00.0","18594",9.445
"298","2016-01-23 05:00:00.0","18594",22.089
"299","2016-01-24 05:00:00.0","18594",17.73
"300","2016-01-25 05:00:00.0","18594",9.767
"301","2016-01-26 05:00:00.0","18594",9.076
"302","2016-01-27 05:00:00.0","18594",6.834
"303","2016-01-28 05:00:00.0","18594",7.592
"304","2016-01-29 05:00:00.0","18594",5.961
"305","2016-01-30 05:00:00.0","18594",19.53
"306","2016-01-31 05:00:00.0","18594",14.194
"307","2016-02-01 05:00:00.0","18594",7.831
"308","2016-02-02 05:00:00.0","18594",8.391
"309","2016-02-03 05:00:00.0","18594",8.64
"310","2016-02-04 05:00:00.0","18594",7.265
"311","2016-02-05 05:00:00.0","18594",7.8
"312","2016-02-06 05:00:00.0","18594",20.689
"313","2016-02-07 05:00:00.0","18594",12.728
"314","2016-02-08 05:00:00.0","18594",9.629
"315","2016-02-09 05:00:00.0","18594",9.211
"316","2016-02-10 05:00:00.0","18594",6.718
"317","2016-02-11 05:00:00.0","18594",7.457
"318","2016-02-12 05:00:00.0","18594",9.25
"319","2016-02-13 05:00:00.0","18594",19.893
"320","2016-02-14 05:00:00.0","18594",10.79
"321","2016-02-15 05:00:00.0","18594",16.341
"322","2016-02-16 05:00:00.0","18594",11.095
"323","2016-02-17 05:00:00.0","18594",7.769
"324","2016-02-18 05:00:00.0","18594",9.552
"325","2016-02-19 05:00:00.0","18594",6.33
"326","2016-02-20 05:00:00.0","18594",12.573
"327","2016-02-21 05:00:00.0","18594",11.787
"328","2016-02-22 05:00:00.0","18594",8.331
"329","2016-02-23 05:00:00.0","18594",7.279
"330","2016-02-24 05:00:00.0","18594",7.235
"331","2016-02-25 05:00:00.0","18594",6.791
"332","2016-02-26 05:00:00.0","18594",9.548
"333","2016-02-27 05:00:00.0","18594",18.863
"334","2016-02-28 05:00:00.0","18594",14.539
"335","2016-02-29 05:00:00.0","18594",7.953
"336","2016-03-01 05:00:00.0","18594",8.866
"337","2016-03-02 05:00:00.0","18594",10.162
"338","2016-03-03 05:00:00.0","18594",8.197
"339","2016-03-04 05:00:00.0","18594",10.332
"340","2016-03-05 05:00:00.0","18594",20.456
"341","2016-03-06 05:00:00.0","18594",11.251
"342","2016-03-07 05:00:00.0","18594",6.747
"343","2016-03-08 05:00:00.0","18594",7.566
"344","2016-03-09 05:00:00.0","18594",6.181
"345","2016-03-10 05:00:00.0","18594",6.757
"346","2016-03-11 05:00:00.0","18594",9.604
"347","2016-03-12 05:00:00.0","18594",13.771
"348","2016-03-13 05:00:00.0","18594",6.652
"349","2016-03-14 04:00:00.0","18594",8.148
"350","2016-03-15 04:00:00.0","18594",6.427
"351","2016-03-16 04:00:00.0","18594",5.705
"352","2016-03-17 04:00:00.0","18594",8.851
"353","2016-03-18 04:00:00.0","18594",6.89
"354","2016-03-19 04:00:00.0","18594",20.531
"355","2016-03-20 04:00:00.0","18594",7.71
"356","2016-03-21 04:00:00.0","18594",11.924
"357","2016-03-22 04:00:00.0","18594",8.178
"358","2016-03-23 04:00:00.0","18594",9.218
"359","2016-03-24 04:00:00.0","18594",7.688
"360","2016-03-25 04:00:00.0","18594",7.78
"361","2016-03-26 04:00:00.0","18594",17.753
"362","2016-03-27 04:00:00.0","18594",13.981
"363","2016-03-28 04:00:00.0","18594",6.703
"364","2016-03-29 04:00:00.0","18594",7.206
"365","2016-03-30 04:00:00.0","18594",7.724
"366","2016-03-31 04:00:00.0","18594",7.369
"367","2016-04-01 04:00:00.0","18594",5.011
"368","2016-04-02 04:00:00.0","18594",9.148
"369","2016-04-03 04:00:00.0","18594",14.404
"370","2016-04-04 04:00:00.0","18594",8.623
"371","2016-04-05 04:00:00.0","18594",7.597
"372","2016-04-06 04:00:00.0","18594",8.739
"373","2016-04-07 04:00:00.0","18594",7.548
"374","2016-04-08 04:00:00.0","18594",11.102
"375","2016-04-09 04:00:00.0","18594",13.389
"376","2016-04-10 04:00:00.0","18594",8.739
"377","2016-04-11 04:00:00.0","18594",7.42
"378","2016-04-12 04:00:00.0","18594",7.527
"379","2016-04-13 04:00:00.0","18594",7.611
"380","2016-04-14 04:00:00.0","18594",6.492
"381","2016-04-15 04:00:00.0","18594",7.405
"382","2016-04-16 04:00:00.0","18594",8.872
"383","2016-04-17 04:00:00.0","18594",6.454
"384","2016-04-18 04:00:00.0","18594",6.21
"385","2016-04-19 04:00:00.0","18594",7.071
"386","2016-04-20 04:00:00.0","18594",6.48
"387","2016-04-21 04:00:00.0","18594",5.568
"388","2016-04-22 04:00:00.0","18594",6.618
"389","2016-04-23 04:00:00.0","18594",11.748
"390","2016-04-24 04:00:00.0","18594",6.07
"391","2016-04-25 04:00:00.0","18594",6.37
"392","2016-04-26 04:00:00.0","18594",6.817
"393","2016-04-27 04:00:00.0","18594",6.168
"394","2016-04-28 04:00:00.0","18594",5.303
"395","2016-04-29 04:00:00.0","18594",7.535
"396","2016-04-30 04:00:00.0","18594",9.614
"397","2016-05-01 04:00:00.0","18594",9.192
"398","2016-05-02 04:00:00.0","18594",6.081
"399","2016-05-03 04:00:00.0","18594",6.414
"400","2016-05-04 04:00:00.0","18594",6.442
"401","2016-05-05 04:00:00.0","18594",4.448
"402","2016-05-06 04:00:00.0","18594",8.885
"403","2016-05-07 04:00:00.0","18594",10.068
"404","2016-05-08 04:00:00.0","18594",6.45
"405","2016-05-09 04:00:00.0","18594",6.256
"406","2016-05-10 04:00:00.0","18594",4.938
"407","2016-05-11 04:00:00.0","18594",5.566
"408","2016-05-12 04:00:00.0","18594",7.597
"409","2016-05-13 04:00:00.0","18594",9.303
"410","2016-05-14 04:00:00.0","18594",7.232
"411","2016-05-15 04:00:00.0","18594",6.125
"412","2016-05-16 04:00:00.0","18594",7.112
"413","2016-05-17 04:00:00.0","18594",5.313
"414","2016-05-18 04:00:00.0","18594",5.751
"415","2016-05-19 04:00:00.0","18594",4.516
"416","2016-05-20 04:00:00.0","18594",6.467
"417","2016-05-21 04:00:00.0","18594",9.086
"418","2016-05-22 04:00:00.0","18594",8.563
"419","2016-05-23 04:00:00.0","18594",4.753
"420","2016-05-24 04:00:00.0","18594",4.938
"421","2016-05-25 04:00:00.0","18594",5.682
"422","2016-05-26 04:00:00.0","18594",4.995
"423","2016-05-27 04:00:00.0","18594",3.661
"424","2016-05-28 04:00:00.0","18594",4.658
"425","2016-05-29 04:00:00.0","18594",11.04
"426","2016-05-30 04:00:00.0","18594",6.647
"427","2016-05-31 04:00:00.0","18594",5.714
"428","2016-06-01 04:00:00.0","18594",5.699
"429","2016-06-02 04:00:00.0","18594",4.73
"430","2016-06-03 04:00:00.0","18594",5.082
"431","2016-06-04 04:00:00.0","18594",3.878
"432","2016-06-05 04:00:00.0","18594",14.835
